Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R30,120R,R_0402_1005Metric,32.65,-26.8,0,top
R31,120R,R_0402_1005Metric,40.25,-44.75,90,top
R32,0.5mΩ,R_2512_6332Metric,39.75,-41.75,180,top
R33,18k,R_0402_1005Metric,13.5,-15.7,90,top
R34,3.3k,R_0402_1005Metric,12.509999,-15.7,-90,top
R35,10k,R_0402_1005Metric,37.5,-20.75,-90,top
R36,10k,R_0402_1005Metric,5.9,-45.3,90,top
R37,120R,R_0402_1005Metric,5.5,-35.2,90,top
R38,10k,R_0402_1005Metric,16.5,-32.9,0,top
SW1,SW_Push,SW_SPST_CK_RS282G05A3,12.6,-47.65,0,bottom
SW2,SW_Push,SW_SPST_CK_RS282G05A3,22.6,-47.65,180,bottom
TH1,NCP18XH103F03RB,R_0603_1608Metric,40.5,-21,180,top
U1,XC6220B331MR,SOT-23-5,15.6,-3.5,90,top
U2,DRV8301,HTSSOP-56-1EP_6.1x14mm_P0.5mm_EP3.61x6.35mm,18.95,-23.069999,270,top
U3,STM32G431CBT6,LQFP-48_7x7mm_P0.5mm,18.55,-41.5,45,top
U4,MCP25625,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,5.6,-40,180,top
U5,AS5147,TSSOP-14_4.4x5mm_P0.65mm,25,-25,0,bottom
Y1,8MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,26.1,-47.5,90,top
Y2,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,3.2,-32.3,-90,top
